Miejsce;Adres
Instytut Pamięci Narodowej;ul. Janickiego 30
NZOZ. Przychodnie Medycyny Rodzinnej;Górna 18b Bezrzecze
Media Markt – Atrium Molo;Mieszka I 73
Atrium Molo;Mieszka I 73
Centrum Handlowe Auchan Kołbaskowo;Ustowo 45
Castorama;Południowa 21
Książnica Pomorska;Podgórna 15/16
Urząd Marszałkowski;Wyszyńskiego 30
Dworzec Główny PKP;Kolumba 2
Przychodnia Portowa;Energetyków 2
 Zachodniopomorski oddział wojewódzki NFZ;Arkońska 45
Wojewódzki Ośrodek Ruchu Drogowego;Golisza 10B
Centrum Handlowe Galaxy;Wyzwolenia 18-20
Kuratorium Oświaty;Wały Chrobrego 4
Muzeum Narodowe;Staromłyńska 27
Teatr Polski;
Radisson Blu Hotel;Plac Rodła 10
Baltica Wellness & Spa;Plac Rodła 8
Zachodniopomorski Urząd Wojewódzki;Wały Chrobrego 4
Szczecińskie Wodne Ochotnicze Pogotowie Ratunkowe;Heyki nad kanałem zielonym
Szczecińskie Wodne Ochotnicze Pogotowie Ratunkowe;Heyki nad kanałem zielonym
Galeria Turzyn;Bohaterów Warszawy 40
NZOZ Vitrolive;Marcina Kasprzaka 2a
Szkoła podstawowa nr 1;Aleja Piastów 6
Centrum Dydaktyczno-Badawcze Nauk Przyrodniczych Uniwersytetu Szczecińskiego Wydział Nauk o Ziemi;ul. A. Mickiewicza 16a
Urząd wojewódzki;Wały Chrobrego 4
Zamek Książąt Pomorskich;ul. Korsarzy 34
Sąd Rejonowy;Kaszubska 42
Castorama;Ku Słońcu 67B
Centrum Handlowe Ster;Ku Słońcu 67
Galeria Kaskada;al.. Niepodległości 36
Wojewódzka Stacja Pogotowia Ratunkowego w Szczecinie;Mazowiecka 14
VI Liceum Ogólnokształcące im. Stefana Czarnieckiego;Jagiellońska 41
Zespół Szkół Budowlanych;Unisławy 32
Siedziba Sejmiku Województwa;Mickiewicza 41
Urząd Marszałkowski;Kolumba 60a
Urząd Marszałkowski;Piłsudskiego 40-42
Urząd Marszałkowski;Hołdu Pruskiego 8
Pływalnia SDS;Wąska 16
Komenda Miejska Policji;Kaszubska 35
Komenda Straży Miejskiej;Felczaka 9
Sklep Leroy Merlin;ul. Golisza 10H
Wojewódzki Fundusz Ochrony Środowiska i Gospodarki Wodnej;ul. Solskiego 3
Telewizja Polska;Niedziałkowskiego 24a
Pomorskie Towarzystwo Ratownicze;Ludowa 7/8
Samodzielny Publiczny Szpital Kliniczny nr 1 PAM;Broniewskiego 26
Samodzielny Publiczny Szpital Kliniczny nr 1 PAM;Broniewskiego 26
Samodzielny Publiczny Wojewódzki Szpital Zespolony;Arkońska 4
Sąd Apelacyjny;Mickiewicza 163
Ochotnicza Straż Pożarna „SZCZECIN”;Ogińskiego 15
Ochotnicza Straż Pożarna „SZCZECIN”;Ogińskiego 15
Komenda Wojewódzka Państwowej Straży Pożarnej;Firlika 9/14
Multikino CHR Galaxy;Aleja Wyzwolenia 18-20
Redakcja „Kuriera Szczecińskiego”;Plac Hołdu Pruskiego 8
Areszt Śledczy;Kaszubska 28
Ars Dentica Gabinety Stomatologiczne;Aleja Piastów 28A
Brillux Polska;Bronowicka 20
Castorama Szczecin III;Wiosenna 80
Centrum Kształcenia Sportowego;Rydla 49
Przychodnia;Ledochowskiego 16
Ibis Budget hotel;Prof. Ludwika Janiszewskiego
Portowa Służba Ratownicza;Bytomska 1
Zarząd Morskich Portów Szczecin i Świnoujście S.A.;Bytomska 7
Apteka Portowa;Energetyków 2
Baltchem S.A. Zakłady chemiczne. Usługi przeładunkowe;Księdza Stanisława Kujota 12
Decathlon;Ustowo 48
Poradnia medycyny pracy;Wacława Felczaka 8b
Regionalne Centrum Innowacji i Transferu Technologii ZUT w Szczecinie;ul. Jagiellońska 20-21
Chorągiew Zachodniopomorska ZHP;ul Ogińskiego 15
